"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","060","01","01","00","CASASOLA",1,1,0
"2025","32","060","01","02","00","FREIXIDO DE ABAIXO",46,20,26
"2025","32","060","02","01","00","MONES",33,17,16
"2025","32","060","02","02","00","SAN PAIO",12,7,5
"2025","32","060","03","01","00","CARBALLAL",28,13,15
"2025","32","060","03","03","00","PORTO, O",2,1,1
"2025","32","060","03","04","00","OUTEIRO",6,4,2
"2025","32","060","03","05","00","SANTA MARÍA",10,5,5
"2025","32","060","03","06","00","BARXELA",4,1,3
"2025","32","060","04","01","00","SANTOALLA",4,3,1
"2025","32","060","05","01","00","PETÍN",597,301,296
"2025","32","060","06","01","00","PORTELA DE PORTOMOURISCO, A",76,40,36
"2025","32","060","06","02","00","PORTOMOURISCO",35,22,13


