"CodTempo","Tempo","Sexo","Grupos de idade","CodEspazo","Espazo","DatoN","DatoT"
2022,"2022","Total","Total","32088","32088 Vilamartín de Valdeorras",1825,"1.825"
2022,"2022","Total","0-4","32088","32088 Vilamartín de Valdeorras",29,"29"
2022,"2022","Total","5-9","32088","32088 Vilamartín de Valdeorras",32,"32"
2022,"2022","Total","10-14","32088","32088 Vilamartín de Valdeorras",35,"35"
2022,"2022","Total","15-19","32088","32088 Vilamartín de Valdeorras",46,"46"
2022,"2022","Total","20-24","32088","32088 Vilamartín de Valdeorras",63,"63"
2022,"2022","Total","25-29","32088","32088 Vilamartín de Valdeorras",84,"84"
2022,"2022","Total","30-34","32088","32088 Vilamartín de Valdeorras",81,"81"
2022,"2022","Total","35-39","32088","32088 Vilamartín de Valdeorras",80,"80"
2022,"2022","Total","40-44","32088","32088 Vilamartín de Valdeorras",107,"107"
2022,"2022","Total","45-49","32088","32088 Vilamartín de Valdeorras",103,"103"
2022,"2022","Total","50-54","32088","32088 Vilamartín de Valdeorras",130,"130"
2022,"2022","Total","55-59","32088","32088 Vilamartín de Valdeorras",138,"138"
2022,"2022","Total","60-64","32088","32088 Vilamartín de Valdeorras",157,"157"
2022,"2022","Total","65-69","32088","32088 Vilamartín de Valdeorras",155,"155"
2022,"2022","Total","70-74","32088","32088 Vilamartín de Valdeorras",133,"133"
2022,"2022","Total","75-79","32088","32088 Vilamartín de Valdeorras",118,"118"
2022,"2022","Total","80-84","32088","32088 Vilamartín de Valdeorras",95,"95"
2022,"2022","Total","85 e máis","32088","32088 Vilamartín de Valdeorras",239,"239"
2022,"2022","Total","85-89","32088","32088 Vilamartín de Valdeorras",128,"128"
2022,"2022","Total","90-94","32088","32088 Vilamartín de Valdeorras",77,"77"
2022,"2022","Total","95-99","32088","32088 Vilamartín de Valdeorras",28,"28"
2022,"2022","Total","100 e máis","32088","32088 Vilamartín de Valdeorras",6,"6"
2022,"2022","Homes","Total","32088","32088 Vilamartín de Valdeorras",930,"930"
2022,"2022","Homes","0-4","32088","32088 Vilamartín de Valdeorras",16,"16"
2022,"2022","Homes","5-9","32088","32088 Vilamartín de Valdeorras",22,"22"
2022,"2022","Homes","10-14","32088","32088 Vilamartín de Valdeorras",20,"20"
2022,"2022","Homes","15-19","32088","32088 Vilamartín de Valdeorras",25,"25"
2022,"2022","Homes","20-24","32088","32088 Vilamartín de Valdeorras",40,"40"
2022,"2022","Homes","25-29","32088","32088 Vilamartín de Valdeorras",50,"50"
2022,"2022","Homes","30-34","32088","32088 Vilamartín de Valdeorras",51,"51"
2022,"2022","Homes","35-39","32088","32088 Vilamartín de Valdeorras",45,"45"
2022,"2022","Homes","40-44","32088","32088 Vilamartín de Valdeorras",62,"62"
2022,"2022","Homes","45-49","32088","32088 Vilamartín de Valdeorras",53,"53"
2022,"2022","Homes","50-54","32088","32088 Vilamartín de Valdeorras",75,"75"
2022,"2022","Homes","55-59","32088","32088 Vilamartín de Valdeorras",76,"76"
2022,"2022","Homes","60-64","32088","32088 Vilamartín de Valdeorras",75,"75"
2022,"2022","Homes","65-69","32088","32088 Vilamartín de Valdeorras",79,"79"
2022,"2022","Homes","70-74","32088","32088 Vilamartín de Valdeorras",69,"69"
2022,"2022","Homes","75-79","32088","32088 Vilamartín de Valdeorras",65,"65"
2022,"2022","Homes","80-84","32088","32088 Vilamartín de Valdeorras",36,"36"
2022,"2022","Homes","85 e máis","32088","32088 Vilamartín de Valdeorras",71,"71"
2022,"2022","Homes","85-89","32088","32088 Vilamartín de Valdeorras",42,"42"
2022,"2022","Homes","90-94","32088","32088 Vilamartín de Valdeorras",18,"18"
2022,"2022","Homes","95-99","32088","32088 Vilamartín de Valdeorras",10,"10"
2022,"2022","Homes","100 e máis","32088","32088 Vilamartín de Valdeorras",1,"1"
2022,"2022","Mulleres","Total","32088","32088 Vilamartín de Valdeorras",895,"895"
2022,"2022","Mulleres","0-4","32088","32088 Vilamartín de Valdeorras",13,"13"
2022,"2022","Mulleres","5-9","32088","32088 Vilamartín de Valdeorras",10,"10"
2022,"2022","Mulleres","10-14","32088","32088 Vilamartín de Valdeorras",15,"15"
2022,"2022","Mulleres","15-19","32088","32088 Vilamartín de Valdeorras",21,"21"
2022,"2022","Mulleres","20-24","32088","32088 Vilamartín de Valdeorras",23,"23"
2022,"2022","Mulleres","25-29","32088","32088 Vilamartín de Valdeorras",34,"34"
2022,"2022","Mulleres","30-34","32088","32088 Vilamartín de Valdeorras",30,"30"
2022,"2022","Mulleres","35-39","32088","32088 Vilamartín de Valdeorras",35,"35"
2022,"2022","Mulleres","40-44","32088","32088 Vilamartín de Valdeorras",45,"45"
2022,"2022","Mulleres","45-49","32088","32088 Vilamartín de Valdeorras",50,"50"
2022,"2022","Mulleres","50-54","32088","32088 Vilamartín de Valdeorras",55,"55"
2022,"2022","Mulleres","55-59","32088","32088 Vilamartín de Valdeorras",62,"62"
2022,"2022","Mulleres","60-64","32088","32088 Vilamartín de Valdeorras",82,"82"
2022,"2022","Mulleres","65-69","32088","32088 Vilamartín de Valdeorras",76,"76"
2022,"2022","Mulleres","70-74","32088","32088 Vilamartín de Valdeorras",64,"64"
2022,"2022","Mulleres","75-79","32088","32088 Vilamartín de Valdeorras",53,"53"
2022,"2022","Mulleres","80-84","32088","32088 Vilamartín de Valdeorras",59,"59"
2022,"2022","Mulleres","85 e máis","32088","32088 Vilamartín de Valdeorras",168,"168"
2022,"2022","Mulleres","85-89","32088","32088 Vilamartín de Valdeorras",86,"86"
2022,"2022","Mulleres","90-94","32088","32088 Vilamartín de Valdeorras",59,"59"
2022,"2022","Mulleres","95-99","32088","32088 Vilamartín de Valdeorras",18,"18"
2022,"2022","Mulleres","100 e máis","32088","32088 Vilamartín de Valdeorras",5,"5"
