"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","017","01","01","00","CANDEDA",19,12,7
"2025","32","017","02","01","00","BASCOIS",10,4,6
"2025","32","017","02","02","00","CARBALLEDA",34,13,21
"2025","32","017","03","01","00","CASAIO",249,139,110
"2025","32","017","04","01","00","CASOIO",38,19,19
"2025","32","017","05","01","00","DOMIZ",31,18,13
"2025","32","017","06","01","00","LARDEIRA",25,16,9
"2025","32","017","07","02","00","PORTELA, A",20,11,9
"2025","32","017","07","03","00","TRIGAL, O",24,10,14
"2025","32","017","08","02","00","PUMARES",49,26,23
"2025","32","017","09","01","00","PUSMAZÁN",36,21,15
"2025","32","017","10","01","00","RIODOLAS",6,5,1
"2025","32","017","11","01","00","ROBLEDO",98,53,45
"2025","32","017","12","01","00","MEDUA, A",25,13,12
"2025","32","017","12","02","00","SAN XUSTO",46,22,24
"2025","32","017","13","01","00","SANTA CRUZ",31,19,12
"2025","32","017","14","01","00","SOBRADELO",492,248,244
"2025","32","017","15","01","00","RICOSENDE",7,6,1
"2025","32","017","15","02","00","SOUTADOIRO",10,5,5
"2025","32","017","16","01","00","VILA",11,8,3
"2025","32","017","17","01","00","VILADEQUINTA",84,39,45


